"name","email","about","pub_date"
"Sushi","sushi@gmail.com","bachelor degree","2024-01-01"
"Kobe","kobe@gmail.com","master degree","2024-02-01"
"James","james@gmail.com","associate degree","2024-03-01"
"John","john@gmail.com","high school","2024-04-01"
"Tom","tom@gmail.com","bachelor degree","2024-05-01"
"Mary","mary@gmail.com","master degree","2024-06-01"
"Kate","kate@gmail.com","associate degree","2024-07-01"
"Emma","emma@gmail.com","high school","2024-08-01"
"Lucy","lucy@gmail.com","bachelor degree","2024-09-01"
"Lisa","lisa@gmail.com","master degree","2024-01-01"
"Olivia","olivia@gmail.com","associate degree","2024-01-01"
"Sophia","sophia@gmail.com","high school","2024-02-01"
"Isabella","isabella@gmail.com","bachelor degree","2024-04-01"
"Emma","emma@gmail.com","master degree","2024-05-01"
"Olivia","olivia@gmail.com","associate degree","2024-06-01"
"Isabella","isabella@gmail.com","high school","2024-07-02"
"Olivia","olivia@gmail.com","bachelor degree","2024-08-01"
"Isabella","isabella@gmail.com","master degree","2024-09-01"
"Emma","emma@gmail.com","associate degree","2024-10-01"

